Citycode,Provincecode,Province,City,LUL
110000,110000,北京市,北京市,268.5750167
120000,120000,天津市,天津市,323.77544
130100,130000,河北省,石家庄市,291.1007604
130200,130000,河北省,唐山市,311.2111942
130300,130000,河北省,秦皇岛市,267.8226682
130400,130000,河北省,邯郸市,304.8651375
130500,130000,河北省,邢台市,306.2508318
130600,130000,河北省,保定市,274.9117812
130700,130000,河北省,张家口市,238.6950203
130800,130000,河北省,承德市,219.4722174
130900,130000,河北省,沧州市,318.7195198
131000,130000,河北省,廊坊市,327.3574295
131100,130000,河北省,衡水市,321.5025711
140100,140000,山西省,太原市,242.1703263
140200,140000,山西省,大同市,253.1105396
140300,140000,山西省,阳泉市,229.6462149
140400,140000,山西省,长治市,248.6683762
140500,140000,山西省,晋城市,241.3559903
140600,140000,山西省,朔州市,259.7458731
140700,140000,山西省,晋中市,244.1934883
140800,140000,山西省,运城市,286.7009077
140900,140000,山西省,忻州市,231.1037766
141000,140000,山西省,临汾市,250.9432273
141100,140000,山西省,吕梁市,232.4833081
150100,150000,内蒙古自治区,呼和浩特市,243.8871574
150200,150000,内蒙古自治区,包头市,217.0149878
150300,150000,内蒙古自治区,乌海市,184.9254601
150400,150000,内蒙古自治区,赤峰市,224.6742151
150500,150000,内蒙古自治区,通辽市,249.1841884
150600,150000,内蒙古自治区,鄂尔多斯市,187.3588098
150700,150000,内蒙古自治区,呼伦贝尔市,210.3033673
150800,150000,内蒙古自治区,巴彦淖尔市,143.9094446
150900,150000,内蒙古自治区,乌兰察布市,218.7790749
152200,150000,内蒙古自治区,兴安盟,236.7637144
152500,150000,内蒙古自治区,锡林郭勒盟,200.5334153
152900,150000,内蒙古自治区,阿拉善盟,11.59536634
156400,150000,中朝共有,中朝共有,238.775639
210100,210000,辽宁省,沈阳市,312.4518287
210200,210000,辽宁省,大连市,288.8129968
210300,210000,辽宁省,鞍山市,266.0266726
210400,210000,辽宁省,抚顺市,227.9240315
210500,210000,辽宁省,本溪市,220.5126535
210600,210000,辽宁省,丹东市,233.61186
210700,210000,辽宁省,锦州市,298.5628869
210800,210000,辽宁省,营口市,273.3892201
210900,210000,辽宁省,阜新市,294.6391434
211000,210000,辽宁省,辽阳市,276.8123552
211100,210000,辽宁省,盘锦市,316.6588532
211200,210000,辽宁省,铁岭市,273.5625133
211300,210000,辽宁省,朝阳市,262.9198052
211400,210000,辽宁省,葫芦岛市,267.5297063
220100,220000,吉林省,长春市,302.8246058
220200,220000,吉林省,吉林市,244.8624192
220300,220000,吉林省,四平市,296.413261
220400,220000,吉林省,辽源市,273.4273249
220500,220000,吉林省,通化市,235.7960232
220600,220000,吉林省,白山市,208.6861841
220700,220000,吉林省,松原市,289.3728143
220800,220000,吉林省,白城市,280.4782039
222400,220000,吉林省,延边朝鲜族自治州,216.2773185
230100,230000,黑龙江省,哈尔滨市,261.5130832
230200,230000,黑龙江省,齐齐哈尔市,294.4097395
230300,230000,黑龙江省,鸡西市,264.302594
230400,230000,黑龙江省,鹤岗市,256.805224
230500,230000,黑龙江省,双鸭山市,263.6101999
230600,230000,黑龙江省,大庆市,289.8708807
230700,230000,黑龙江省,伊春市,212.7893988
230800,230000,黑龙江省,佳木斯市,285.2275237
230900,230000,黑龙江省,七台河市,258.9263755
231000,230000,黑龙江省,牡丹江市,226.8220114
231100,230000,黑龙江省,黑河市,238.9880843
231200,230000,黑龙江省,绥化市,284.1074673
232700,230000,黑龙江省,大兴安岭地区,203.1745384
310000,310000,上海市,上海市,317.1059991
320100,320000,江苏省,南京市,306.1772703
320200,320000,江苏省,无锡市,300.5406023
320300,320000,江苏省,徐州市,321.9964002
320400,320000,江苏省,常州市,305.3415254
320500,320000,江苏省,苏州市,292.5771098
320600,320000,江苏省,南通市,310.1209686
320700,320000,江苏省,连云港市,314.9694274
320800,320000,江苏省,淮安市,297.1463064
320900,320000,江苏省,盐城市,307.897515
321000,320000,江苏省,扬州市,302.5354437
321100,320000,江苏省,镇江市,306.0988155
321200,320000,江苏省,泰州市,310.492326
321300,320000,江苏省,宿迁市,303.6030179
330100,330000,浙江省,杭州市,234.1993395
330200,330000,浙江省,宁波市,266.8936235
330300,330000,浙江省,温州市,233.6692104
330400,330000,浙江省,嘉兴市,296.859942
330500,330000,浙江省,湖州市,267.6094828
330600,330000,浙江省,绍兴市,250.7956868
330700,330000,浙江省,金华市,244.6199978
330800,330000,浙江省,衢州市,233.324513
330900,330000,浙江省,舟山市,268.5935743
331000,330000,浙江省,台州市,243.4814741
331100,330000,浙江省,丽水市,209.6860143
340100,340000,安徽省,合肥市,298.3359914
340200,340000,安徽省,芜湖市,289.4868008
340300,340000,安徽省,蚌埠市,310.1826712
340400,340000,安徽省,淮南市,306.0090818
340500,340000,安徽省,马鞍山市,292.1638967
340600,340000,安徽省,淮北市,318.5144801
340700,340000,安徽省,铜陵市,275.9510428
340800,340000,安徽省,安庆市,256.2185657
341000,340000,安徽省,黄山市,212.6746359
341100,340000,安徽省,滁州市,298.6029899
341200,340000,安徽省,阜阳市,315.3290854
341300,340000,安徽省,宿州市,315.5697899
341500,340000,安徽省,六安市,261.1036153
341600,340000,安徽省,亳州市,315.5021128
341700,340000,安徽省,池州市,232.9176305
341800,340000,安徽省,宣城市,239.9931764
350100,350000,福建省,福州市,234.6173696
350200,350000,福建省,厦门市,281.7048247
350300,350000,福建省,莆田市,245.5174175
350400,350000,福建省,三明市,211.4130744
350500,350000,福建省,泉州市,239.626582
350600,350000,福建省,漳州市,233.3871126
350700,350000,福建省,南平市,211.4173243
350800,350000,福建省,龙岩市,212.2735824
350900,350000,福建省,宁德市,215.995901
360100,360000,江西省,南昌市,287.0193647
360200,360000,江西省,景德镇市,234.5816256
360300,360000,江西省,萍乡市,238.110337
360400,360000,江西省,九江市,239.4752456
360500,360000,江西省,新余市,257.2761493
360600,360000,江西省,鹰潭市,256.5800238
360700,360000,江西省,赣州市,223.3172276
360800,360000,江西省,吉安市,234.4747866
360900,360000,江西省,宜春市,247.978491
361000,360000,江西省,抚州市,232.1312413
361100,360000,江西省,上饶市,241.293423
370100,370000,山东省,济南市,304.701067
370200,370000,山东省,青岛市,320.9092628
370300,370000,山东省,淄博市,300.2846221
370400,370000,山东省,枣庄市,316.7198976
370500,370000,山东省,东营市,307.9467566
370600,370000,山东省,烟台市,303.804371
370700,370000,山东省,潍坊市,312.4132306
370800,370000,山东省,济宁市,310.2972235
370900,370000,山东省,泰安市,308.1311527
371000,370000,山东省,威海市,305.096465
371100,370000,山东省,日照市,309.4877212
371300,370000,山东省,临沂市,310.7111702
371400,370000,山东省,德州市,322.9247269
371500,370000,山东省,聊城市,323.2961959
371600,370000,山东省,滨州市,310.2507804
371700,370000,山东省,菏泽市,321.5348415
410100,410000,河南省,郑州市,321.3376122
410200,410000,河南省,开封市,320.1099964
410300,410000,河南省,洛阳市,261.5113249
410400,410000,河南省,平顶山市,294.6863663
410500,410000,河南省,安阳市,303.4339711
410600,410000,河南省,鹤壁市,308.4170813
410700,410000,河南省,新乡市,310.8985174
410800,410000,河南省,焦作市,312.225127
410900,410000,河南省,濮阳市,324.192105
411000,410000,河南省,许昌市,316.895248
411100,410000,河南省,漯河市,318.5137029
411200,410000,河南省,三门峡市,245.244406
411300,410000,河南省,南阳市,274.3264389
411400,410000,河南省,商丘市,320.0885161
411500,410000,河南省,信阳市,284.7644051
411600,410000,河南省,周口市,317.3927799
411700,410000,河南省,驻马店市,304.6269283
419001,410000,河南省,济源市,271.1391633
