Name_of_Regions_x,Year,Citycode,UI,Name_of_Regions_y,UER,C,T,D,UI_normalized,UER_normalized,C2,T2,D2,Delta_UER,Delta_UI,DI,Delta_UER_l,Delta_UI_l,DI_long,DI_C_Short,DI_C_Long
Beijing,2006,110000.0,0.12296883342341894,Beijing,0.08623178064521757,0.9844603840643517,0.10460030703431825,0.320896959219395,0.11520861646827885,0.6416335851953768,0.7184733770024834,0.37842110083182784,0.5214263958063886,,,,,,,Unknown,Unknown
北京,2010,110000.0,0.1277772929282963,北京,0.09264436019042448,0.9872157493274354,0.11021082655936038,0.3298512751616931,0.12006337914321918,0.6895617407621022,0.7107843894667125,0.4048125599526607,0.5364088443290331,0.0743644570160289,0.039103074909399016,1.9017547133653745,,,,Negative decoupling of expansion / Negative decoupling,Unknown
北京,2014,110000.0,0.15844691735396163,北京,0.1036334194315812,0.9778840638584669,0.1310401683927714,0.3579694014809382,0.15102833741418556,0.7716948881373722,0.7399639736268836,0.46136161277577886,0.5842867209414166,0.11861552304500167,0.24002405844421792,0.4941818074981353,,,,Weak decoupling / Decoupling,Unknown
北京,2018,110000.0,0.1733025480212787,北京,0.09737986365872485,0.9598580544867389,0.13534120584000178,0.36042800464097313,0.16602702071457234,0.7249552895384465,0.7787640821889837,0.4454911551265094,0.5890097711799068,-0.060343041917910956,0.09375777651849426,-0.6436057269981007,,,,Strong decoupling / Decoupling,Unknown
北京,2022,110000.0,0.19071740909396973,北京,0.09551556299879949,0.9430670573984355,0.1431164860463846,0.3673805157612039,0.18360957858767404,0.7110213505639446,0.8077464816926206,0.4473154645758093,0.6010969079256772,-0.01914462179223153,0.1004881998073841,-0.19051611859828282,0.10766079842161765,0.5509410294010997,0.19541256264513515,Strong decoupling / Decoupling,Weak decoupling / Decoupling
Tianjin,2006,120000.0,0.0993529797657479,Tianjin,0.06382530299023698,0.9760105862807682,0.08158914137799245,0.2821911864507446,0.09136535341119731,0.4741656981805554,0.7360873865954006,0.2827655257958763,0.45622377941352527,,,,,,,Unknown,Unknown
天津,2010,120000.0,0.12248213267329097,天津,0.08522433785788572,0.9837803809254657,0.10385323526558835,0.31963850730148663,0.1147172290222184,0.634103873587837,0.7203547894436141,0.3744105513050277,0.5193346068295475,0.3352751003927399,0.2327977778027035,1.4401988865928355,,,,Negative decoupling of expansion / Negative decoupling,Unknown
天津,2014,120000.0,0.15833109675438126,天津,0.0906618898007373,0.9623617984063699,0.12449649327755928,0.3461367781179551,0.15091140151750979,0.6747445913492153,0.7729681341942689,0.41282799643336254,0.5648919243061052,0.06380280656352966,0.29268729486213196,0.2179896691230942,,,,Weak decoupling / Decoupling,Unknown
天津,2018,120000.0,0.18517600974223283,天津,0.08917325838964318,0.9367762432384508,0.137174634065938,0.3584716702445238,0.1780148182049645,0.6636184357437441,0.8167599009823299,0.4208166269743543,0.5862645704622544,-0.016419593881904837,0.1695492138824506,-0.09684264235685948,,,,Strong decoupling / Decoupling,Unknown
天津,2022,120000.0,0.20381184612114106,天津,0.09051915724341046,0.9229516426690105,0.14716550168227577,0.36854666125453567,0.19683010879373838,0.6736777962843321,0.8366217664769686,0.43525395253903526,0.6034425661480057,0.015093076983756282,0.10063850282144826,0.14997318680837546,0.4182330988269136,1.0513913785140998,0.39779011638652584,Weak decoupling / Decoupling,Weak decoupling / Decoupling
Shijiazhuang,2006,130100.0,0.04326513457778728,Shijiazhuang,0.08448378777263876,0.9465171085169507,0.06387446117521302,0.24588263521371503,0.034737409043536664,0.6285689403460035,0.44554442222099705,0.33165317469477007,0.38440372279303014,,,,,,,Unknown,Unknown
石家庄,2010,130100.0,0.052491800680030745,石家庄,0.09658310787912788,0.9552603847309455,0.07453745427957931,0.2668382979483571,0.04405292353666567,0.7190002702386462,0.46647360615950084,0.38152659688765594,0.4218673814078864,0.14321469746421167,0.21325869414908794,0.6715538516994346,,,,Weak decoupling / Decoupling,Unknown
石家庄,2014,130100.0,0.06479041796053721,石家庄,0.09417974714108146,0.9827623750640807,0.07948508255080933,0.2794905159567993,0.05646997063173152,0.7010373511786953,0.5253182883536098,0.3787536609052134,0.4460563023368129,-0.02488386210406679,0.23429596853561896,-0.10620695806075642,,,,Strong decoupling / Decoupling,Unknown
石家庄,2018,130100.0,0.07716533865144404,石家庄,0.09743103063793904,0.9932408407094657,0.08729818464469154,0.2944624293673194,0.068964055902622,0.7253377158182872,0.56315246856598,0.3971508858604546,0.47292335717902617,0.03452210900489194,0.19099924156137082,0.18074474391983117,,,,Weak decoupling / Decoupling,Unknown
石家庄,2022,130100.0,0.08212212757480461,石家庄,0.09463782935020328,0.9974900908328881,0.08837997846250395,0.2969143862199536,0.07396857633755129,0.7044610959020726,0.5864928887349594,0.38921483611981195,0.47777791239697587,-0.028668497802466053,0.06423595114058145,-0.4462998880443845,0.12018923210321589,0.8981133047709707,0.1338241305019588,Strong decoupling / Decoupling,Weak decoupling / Decoupling
Tangshan,2006,130200.0,0.0443561800518602,Tangshan,0.08229425692624477,0.9540807557653841,0.06332521848905248,0.24579945548158413,0.03583896076479358,0.6122042037709146,0.457142836981636,0.32402158226785405,0.38486899766180876,,,,,,,Unknown,Unknown
唐山,2010,130200.0,0.04960729093247649,唐山,0.096012183144883,0.9478649521286381,0.07280973703867974,0.2627047732963124,0.041140637336953736,0.71473313104967,0.45372027473599197,0.37793688419331184,0.41409857151293605,0.16669360330858507,0.11838510156818782,1.4080623414642455,,,,Negative decoupling of expansion / Negative decoupling,Unknown
唐山,2014,130200.0,0.0633325886044097,唐山,0.09063506692571299,0.9841521564604719,0.07698382776506135,0.2752522481426204,0.05499810307469349,0.6745441149390827,0.5280300035376376,0.3647711090068881,0.43887366061240807,-0.05600451987489863,0.2766790408009894,-0.2024169221953525,,,,Strong decoupling / Decoupling,Unknown
唐山,2018,130200.0,0.06917725018176779,唐山,0.09403616149876119,0.9883328863505628,0.0816067058402645,0.28399751958189695,0.06089904595351675,0.6999641800852594,0.5427084128015199,0.3804316130193881,0.4543824786248631,0.03752515100844822,0.0922852153393765,0.4066214817882848,,,,Weak decoupling / Decoupling,Unknown
唐山,2022,130200.0,0.07501094419972398,唐山,0.09696695335356403,0.991817008518667,0.08598894877664401,0.2920364736489536,0.06678891566057563,0.7218691634013221,0.5568300704741221,0.3943290395309489,0.4685875231715108,0.031166647043982643,0.08432966043934642,0.36958108074440854,0.1782955090106651,0.6911046918833623,0.25798625172806094,Weak decoupling / Decoupling,Weak decoupling / Decoupling
Qinhuangdao,2006,130300.0,0.041743916831068484,Qinhuangdao,0.08737047505044158,0.9354795290626431,0.06455719594075504,0.24574770651272068,0.0332015426959598,0.6501442823667404,0.43000495076324763,0.34167291253135007,0.3833028097081713,,,,,,,Unknown,Unknown
秦皇岛,2010,130300.0,0.04498252329753952,秦皇岛,0.09900374798644786,0.9269506967478285,0.0719931356419937,0.2583294161422717,0.036471335396989324,0.7370923367489796,0.4239071189035169,0.38678183607298444,0.40491921882507775,0.13314878887049697,0.0775827165327394,1.7162171527508843,,,,Negative decoupling of expansion / Negative decoupling,Unknown
秦皇岛,2014,130300.0,0.048838598915388776,秦皇岛,0.12188805119138175,0.9038385103038262,0.08536332505338526,0.2777672776819347,0.04036454318262078,0.9081315318669552,0.4037093948878666,0.47424803752478795,0.4375595825209298,0.2311458270051192,0.08572386196174508,2.6964000654598337,,,,Negative decoupling of expansion / Negative decoupling,Unknown
秦皇岛,2018,130300.0,0.061248483805543416,秦皇岛,0.09788486221679632,0.9731375687232614,0.07956667301116988,0.27826124186722195,0.052893929341310215,0.7287296909757451,0.5023639519078055,0.3908118101585277,0.44309114796335186,-0.1969281544824848,0.25409993664343955,-0.7750027689255985,,,,Strong decoupling / Decoupling,Unknown
秦皇岛,2022,130300.0,0.06566148557345826,秦皇岛,0.09431876692754429,0.98382539160685,0.07999012625050128,0.28052863897128366,0.05734942621002413,0.7020763966837796,0.5284469066789101,0.3797129114469019,0.4479487844387551,-0.0364315299474377,0.07205079201512299,-0.5056367727337537,0.07952677232315893,0.5729593808645382,0.13880001790556426,Strong decoupling / Decoupling,Weak decoupling / Decoupling
Handan,2006,130400.0,0.03731568015441153,Handan,0.0853934712511502,0.9200492123802995,0.06135457570278086,0.2375904649839109,0.028730664213603853,0.6353679907074394,0.40689550676359953,0.3320493274605216,0.3675722777462432,,,,,,,Unknown,Unknown
